# PIP_Player1 PIP_Player2 Win_Prob_Player1

# gnuplot> set dgrid3d 50,50,50
# set contour base
# splot 'pip2winning.dat' using 1:2:(($3-.1)/.8) with points pt 7 ps .3 palette
# set cntrparam bspline
# set cntrparam levels 9



86 86 0.530400
86 74 0.424800
74 76 0.554400
76 54 0.277600
54 68 0.716000
68 49 0.306400
49 60 0.672800
60 43 0.308000
43 49 0.648800
49 32 0.304800
32 43 0.738400
43 21 0.204000
21 38 0.824800
38 13 0.138400
13 30 0.860000
30 8 0.154400
8 23 0.844000
23 5 0.168800
5 19 0.890400
19 3 0.112800
97 97 0.608800
97 94 0.525600
94 86 0.466400
86 74 0.346400
74 75 0.605600
75 64 0.330400
64 70 0.698400
70 60 0.356000
60 58 0.578400
58 54 0.463200
54 50 0.528800
50 42 0.335200
42 39 0.632800
39 33 0.370400
33 31 0.596000
31 28 0.484000
28 26 0.512800
26 16 0.196000
16 20 0.818400
20 11 0.180000
11 8 0.610400
8 3 0.282400
3 4 0.768800
4 1 0.218400
1 0 0.100000
95 88 0.458400
88 88 0.586400
88 81 0.450400
81 72 0.399200
72 73 0.594400
73 66 0.468000
66 62 0.469600
62 59 0.514400
59 54 0.525600
54 52 0.516000
52 38 0.375200
38 47 0.661600
47 30 0.303200
30 39 0.720800
39 24 0.276000
24 35 0.852000
35 15 0.112800
15 21 0.829600
21 7 0.103200
7 9 0.874400
9 0 0.100000
87 84 0.509600
84 79 0.503200
79 77 0.584800
77 75 0.519200
75 72 0.493600
72 67 0.480800
67 64 0.496800
64 62 0.559200
62 59 0.477600
59 56 0.562400
56 55 0.536800
55 49 0.503200
49 50 0.541600
50 42 0.565600
42 43 0.480800
43 35 0.599200
35 39 0.506400
39 29 0.472800
29 34 0.618400
34 17 0.180000
17 27 0.848800
27 13 0.133600
13 22 0.863200
22 9 0.122400
9 17 0.892000
101 107 0.583200
107 90 0.362400
90 98 0.610400
98 80 0.362400
80 91 0.637600
91 73 0.348000
73 83 0.607200
83 68 0.383200
68 72 0.522400
72 57 0.391200
57 69 0.725600
69 51 0.328800
51 57 0.671200
57 44 0.296800
44 47 0.647200
47 39 0.351200
39 31 0.501600
31 35 0.592800
35 23 0.306400
23 30 0.759200
30 14 0.255200
14 21 0.728800
21 9 0.335200
9 5 0.317600
5 6 0.720800
6 1 0.100000
1 3 0.900000
3 0 0.100000
62 72 0.768800
72 56 0.274400
56 62 0.682400
62 49 0.298400
49 58 0.764000
58 33 0.162400
33 52 0.858400
52 29 0.199200
29 44 0.820000
44 25 0.194400
25 34 0.783200
34 21 0.288800
21 29 0.764000
29 16 0.199200
16 24 0.847200
24 8 0.100000
8 17 0.900000
17 4 0.100000
4 11 0.900000
11 2 0.100000
2 7 0.900000
7 0 0.100000
64 108 0.879200
108 58 0.112800
58 100 0.882400
100 54 0.112800
54 93 0.892000
93 48 0.119200
48 87 0.887200
87 41 0.114400
41 83 0.892000
83 31 0.101600
31 77 0.898400
77 24 0.100000
74 20 0.100000
110 98 0.384800
98 104 0.666400
104 90 0.357600
90 95 0.688800
95 81 0.343200
81 91 0.719200
91 73 0.279200
73 81 0.698400
81 70 0.421600
70 75 0.666400
75 61 0.332000
61 67 0.682400
67 54 0.333600
54 61 0.690400
61 49 0.356000
49 53 0.640800
53 41 0.264800
41 46 0.733600
46 32 0.247200
32 39 0.788000
39 26 0.207200
26 33 0.800800
33 20 0.228000
20 25 0.744800
25 14 0.263200
14 20 0.826400
20 9 0.189600
9 16 0.848800
16 4 0.111200
4 12 0.900000
12 2 0.100000
2 4 0.900000
4 0 0.100000
57 78 0.876000
78 50 0.120800
50 71 0.887200
71 44 0.128800
44 66 0.895200
66 36 0.101600
36 59 0.895200
59 20 0.100000
52 17 0.100000
17 28 0.900000
28 14 0.100000
14 14 0.893600
14 9 0.100000
9 10 0.900000
10 5 0.100000
5 8 0.900000
8 0 0.100000
99 89 0.420000
89 91 0.584800
91 77 0.348000
77 86 0.704800
86 74 0.402400
74 77 0.599200
77 65 0.394400
65 66 0.591200
66 49 0.314400
49 58 0.679200
58 40 0.300000
40 48 0.684000
48 24 0.184800
24 42 0.864800
42 19 0.149600
19 36 0.871200
36 15 0.125600
15 18 0.853600
18 12 0.168800
12 12 0.861600
12 9 0.151200
9 7 0.880800
7 6 0.114400
6 5 0.900000
5 2 0.100000
2 3 0.900000
3 0 0.100000
79 78 0.586400
78 63 0.280800
63 73 0.717600
73 54 0.221600
54 61 0.736800
61 45 0.234400
45 56 0.797600
56 36 0.165600
36 47 0.847200
47 32 0.207200
32 42 0.853600
42 27 0.140000
27 37 0.888800
37 22 0.120800
22 33 0.884000
33 15 0.127200
15 28 0.887200
58 68 0.773600
68 38 0.116000
38 52 0.855200
52 28 0.138400
28 45 0.880800
45 24 0.148000
24 37 0.885600
37 18 0.130400
18 25 0.882400
25 15 0.176800
15 18 0.850400
18 7 0.100000
7 15 0.900000
3 11 0.900000
1 7 0.900000
7 0 0.100000
109 99 0.384800
